马克思　恩格斯：《共产党宣言》	Manifest der Kommunistischen Partei Karl MarxFriedrich Engels
他们都只是劳动工具，不过因为年龄和性别的不同而需要不同的费用罢了。	Es gibt nur noch Arbeitsinstrumente, die je nach Alter und Geschlecht verschiedene Kosten machen.
当厂主对工人的剥削告一段落，工人领到了用现钱支付的工资的时候，马上就有资产阶级中的另一部分人──房东、店主、当铺老板等等向他们扑来。	Ist die Ausbeutung des Arbeiters durch den Fabrikanten so weit beendigt, daß er seinen Arbeitslohn baar ausgezahlt erhält, so fallen die andern Theile der Bourgeoisie über ihn her, der Hausbesitzer, der Krämer, der Pfandverleiher u. s. w.
以前的中间等级的下层，即小工业家、小商人和小食利者，手工业者和农民──所有这些阶级都降落到无产阶级的队伍里来了，有的是因为他们的小资本不足以经营大工业，经不起较大资本家的竞争；有的是因为他们的手艺已经被新的生产方法弄得一钱不值了。	Die bisherigen kleinen Mittelstände, die kleinen Industriellen, Kaufleute und Rentiers, die Handwerker und Bauern, alle diese Klassen fallen ins Proletariat hinab, theils dadurch, daß ihr kleines Kapital für den Betrieb der großen Industrie nicht ausreicht, und der Konkurrenz mit den größeren Kapitalisten erliegt, theils dadurch, daß ihre Geschicklichkeit von neuen Produktionsweisen entwerthet wird.
无产阶级的队伍就是这样从居民的所有阶级中得到补充的。	So rekrutirt sich das Proletariat aus allen Klassen der Bevölkerung.
无产阶级经历了各个不同的发展阶段。	Das Proletariat macht verschiedene Entwicklungsstufen durch.
它反对资产阶级的斗争是和它的存在同时开始的。	Sein Kampf gegen die Bourgeoisie beginnt mit seiner Existenz.
最初是个别的工人，然后是某一工厂的工人，然后是某一地方的某一劳动部门的工人，同直接剥削他们的个别资产者作斗争。	Im Anfang kämpfen die einzelnen Arbeiter, dann die Arbeiter einer Fabrik, dann die Arbeiter eines Arbeitszweiges an einen Ort gegen den einzelnen Bourgeois, der sie direkt ausbeutet.
他们不仅仅攻击资产阶级的生产关系，他们攻击生产工具本身；他们毁坏寻些来竞争的外国商品，捣毁机器，烧毁工厂，力图恢复已经失去的中世纪工人的地位。	Sie richten ihre Angriffe nicht nur gegen die bürgerlichen Produktions-Verhältnisse, sie richten sie gegen die Produktions-Instrumente selbst; sie vernichten die fremden konkurrirenden Waaren, sie zerschlagen die Maschinen, sie stecken die Fabriken in Brand, sie suchen sich die untergegangene Stellung des mittelalterlichen Arbeiters wieder zu erringen.
在这个阶段上，工人们还是分散在全国各地并为竞争所分裂的群众。	Auf dieser Stufe bilden die Arbeiter eine über das ganze Land zerstreute und durch die Konkurrenz zersplitterte Masse.
广大工人群众的团结，还不是他们自己联合的结果，而是资产阶级联合的结果，当时资产阶级为了达到自己的政治目的必须而且暂还能够把整个无产阶级发动起来。	Massenhaftes Zusammenhalten der Arbeiter ist noch nicht die Folge ihrer eigenen Vereinigung, sondern die Folge der Vereinigung der Bourgeoisie, die zur Erreichung ihrer eigenen politischen Zwecke das ganze Proletariat in Bewegung setzen muß und es einstweilen noch kann.
因此，在这个阶段上，无产者不是同自己的敌人作斗争，而是同自己的敌人的敌人作斗争，即同君主专制的残余、地主、非工业资产阶级和小资产者作斗争。	Auf dieser Stufe bekämpfen die Proletarier also nicht ihre Feinde, sondern die Feinde ihrer Feinde, die Reste der absoluten Monarchie, die Grundeigenthümer, die nicht industriellen Bourgeois, die Kleinbürger.
因此，整个历史运动都集中在资产阶级手里；在这种条件下取得的每一个胜利都是资产阶级的胜利。	Die ganze geschichtliche Bewegung ist so in den Händen der Bourgeoisie konzentrirt; jeder Sieg, der so errungen wird, ist ein Sieg der Bourgeoisie.
但是，随着工业的发展，无产阶级不仅人数增加了，而且它结合成更大的集体，它的力量日益增长，它愈来愈感觉到自己的力量。	Aber mit der Entwicklung der Industrie vermehrt sich nicht nur das Proletariat; es wird in größeren Massen zusammengedrängt, seine Kraft wächst und es fühlt sie mehr.
机器使劳动的差别愈来愈小，使工资几乎到处都降到同样低的水平，因而无产阶级的利益和生活状况也愈来愈趋于一致。	Die Interessen, die Lebenslagen innerhalb des Proletariats gleichen sich immer mehr aus, indem die Maschinerie mehr und mehr die Unterschiede der Arbeit verwischt und den Lohn fast überall auf ein gleich niedriges Niveau herabdrückt.
资产者彼此间日益加剧的竟争以及由此引起的商业危机，使工人的工资愈来愈不稳定；机器的日益迅速的和继续不断的改良，使工人的整个生活地位愈来愈没有保障；个别工人和工别资产者之间的冲突愈来愈具有两个阶级的冲突的性质。	Die wachsende Konkurrenz der Bourgeois unter sich und die daraus hervorgehenden Handelskrisen machen den Lohn der Arbeiter immer schwankender; die immer rascher sich entwickelnde, unaufhörliche Verbesserung der Maschinerie macht ihre ganze Lebensstellung immer unsicherer; immer mehr nehmen die Kollisionen zwischen dem einzelnen Arbeiter und dem einzelnen Bourgeois den Charakter von Kollisionen zweier Klassen an.
工人开始成立反对资产者的同盟；他们联合起来保卫自己的工资。	Die Arbeiter beginnen [9] damit, Coalitionen gegen die Bourgeois zu bilden; sie treten zusammen zur Behauptung ihres Arbeitslohns.
他们甚至建立了经常性的团体，以便一旦发生冲突在生活上有所保障。	Sie stiften selbst dauernde Associationen, um sich für diese gelegentlichen Empörungen zu verproviantiren.
有些地方，斗争转变为起义。	Stellenweis bricht der Kampf in Emeuten aus.
工人有时也得到胜利，但这种胜利只是暂时的。	Von Zeit zu Zeit siegen die Arbeiter, aber nur vorübergehend.
他们斗争的真正成果并不是直接取得的成功，而是工人的愈来愈扩大的团结。	Das eigentliche Resultat ihrer Kämpfe ist nicht der unmittelbare Erfolg, sondern die immer weiter um sich greifende Vereinigung der Arbeiter.
这种团结由于大工业所造成的日益发达的交通工具而得到发展，这种交通工具把各地的工人彼此联系起来。	Sie wird befördert durch die wachsenden Kommunikationsmittel, die von der großen Industrie erzeugt werden und die Arbeiter der verschiedenen Lokalitäten mit einander in Verbindung setzen.
只要有了这种联系，就能把许多性质相同的地方性的斗争汇合成全国性的斗争，汇合成阶级斗争。	Es bedarf aber blos der Verbindung, um die vielen Lokalkämpfe von überall gleichem Charakter, zu einem nationalen, zu einem Klassenkampf zu centralisiren.
而一切阶级斗争都是政治斗争。	Jeder Klassenkampf aber ist ein politischer Kampf.
中世纪的市民靠乡间小道需要几百年才能达到的团结，现代的无产者利用铁路只要几年就可以达到了。	Und die Vereinigung, zu der die Bürger des Mittelalters mit ihren Vicinalwegen Jahrhunderte bedurften, bringen die modernen Proletarier mit den Eisenbahnen in wenigen Jahren zu Stande.
无产者组织成为阶级，从而组织成为政党这件事，不断地由于工人的自相竞争而受到破坏。	Diese Organisation der Proletarier zur Klasse, und damit zur politischen Partei, wird jeden Augenblick wieder gesprengt durch die Conkurrenz unter den Arbeitern selbst.
但是，这种组织总是一次又一次地重新产生，并且一次比一次更强大，更坚固，更有力。	Aber sie ersteht immer wieder, stärker, fester, mächtiger.
它利用资产阶级内部的分裂，迫使他们用法律形式承认工人的个别利益。	Sie erzwingt die Anerkennung einzelner Interessen der Arbeiter in Gesetzesform, indem sie die Spaltungen der Bourgeoisie unter sich benutzt.
英国的十小时工作日法案就是一个例子。	So die Zehnstundenbill in England.
一般说来，旧社会内部的冲突在许多方面都促进了无产阶级的发展。	Die Kollisionen der alten Gesellschaft überhaupt fördern mannichfach den Entwicklungsgang des Proletariats.
资产阶级处于不断的斗争中：最初是反对贵族，后来又反对其利益同工业进步相矛盾的一部分资产阶级，并且经常反对一切外国的资产阶级。	Die Bourgeoisie befindet sich in fortwährendem Kampfe; anfangs gegen die Aristokratie; später gegen die Theile der Bourgeoisie selbst, deren Interessen mit dem Fortschritt der Industrie in Wiederspruch gerathen; stets gegen die Bourgeoisie aller auswärtigen Länder.
在这一切斗争中，资产阶级都不得不向无产阶级呼吁，要求无产阶级援助，这样就把无产阶级卷进了政治运动。	In allen diesen Kämpfen sieht sie sich genöthigt an das Proletariat zu appelliren, seine Hülfe in Anspruch zu nehmen und es so in die politische Bewegung hineinzureißen.
于是，资产阶级自己就把自己的教育因素即反对自身的武器给予了无产阶级。	Sie selbst führt also dem Proletariat ihre eigenen Bildungselemente, d. h. Waffen gegen sich selbst zu.
其次，我们已经看到，工业的进步把统治阶级中的整个整个的阶层抛到无产阶级队伍里去，或者至少也使他们的生活条件受到威胁。	Es werden ferner, wie wir sahen, durch den Fortschritt der Industrie ganze Bestandtheile der herrschenden Klasse in’s Proletariat hinabgeworfen oder wenigstens in ihren Lebensbedingungen bedroht.
他们也给无产阶级带来了大量的教育因素。	Auch sie führen dem Proletariat eine Masse Bildungselemente zu.
最后，在阶级斗争接近决战的时期，统治阶级内部的、整个旧社会内部的瓦解过程，就达到非常强烈、非常尖锐的程度，甚至使得统治阶级中的一小部分人脱离统治阶级而归附于革命的阶级，即掌握着未来的阶级。	In Zeiten endlich wo der Klassenkampf sich der Entscheidung nähert, nimmt der Auflösungsprozeß innerhalb der herrschenden Klasse, innerhalb der ganzen alten Gesellschaft, einen so heftigen, so grellen Charakter an, daß ein kleiner Theil der herrschende Klasse sich von ihr lossagt und sich der revolutionären Klasse anschließt, der Klasse, welche die Zukunft in ihren Händen trägt.
所以，正象过去贵族中有一部分人转到资产阶级方面一样，现在资产阶级中也有一部分人，特别是已经提高到从理论上认识整个历史运动这一水平的一部分资产阶级思想家，转到无产阶级方面来了。	Wie daher früher ein Theil des Adels zur Bourgeoisie überging, so geht jetzt ein Theil der Bourgeoisie zum Proletariat über, und namentlich ein Theil der Bourgeois-Ideologen, welche zum theoretischen Verständniß der ganzen geschichtlichen Bewegung sich hinaufgearbeitet haben.
在当前同资产阶级对立的一切阶级中，只有无产阶级是真正革命的阶级。	Von allen Klassen, welche heutzutage der Bourgeoisie gegenüber stehen, ist nur das Proletariat eine wirklich revolutionäre Klasse.
其余的阶级都随着大工业的发展而日趋没落和灭亡，无产阶级却是大工业本身的产物。	Die übrigen Klassen verkommen und gehen unter mit der großen Industrie, das Proletariat ist ihr eigenstes Produkt.
中间等级，即小工业家、小商人、手工业者、农民，他们同资产阶级作斗争，都是为了维护他们这种中间等级的生存，以免于灭亡。	Die Mittelstände, der kleine Industrielle, der kleine Kaufmann, der Handwerker, der Bauer, sie Alle bekämpfen die Bourgeoisie, um ihre Existenz als Mittelstände, vor dem Untergang zu sichern.
所以，他们不是革命的，而是保守的。	Sie sind also nicht revolutionär, sondern konservativ.
不仅如此，他们甚至是反动的，因为他们力图使历史的车轮倒转。	Noch mehr, sie sind reaktionär, denn sie suchen das Rad der Geschichte zurückzudrehen.
如果说他们是革命的，那是鉴于他们行将转入无产阶级的队伍，这样，他们就不是维护他们目前的利益，而是维护他们将来的利益，他们就离开自己原来的立场，而站到无产阶级的立场上来。	Sind sie revolutionär, so sind sie es im Hinblick auf den ihnen bevorstehenden Uebergang ins Proletariat, so vertheidigen [10] sie nicht ihre gegenwärtigen, sondern ihre zukünftigen Interessen, so verlassen sie ihren eigenen Standpunkt um sich auf den des Proletariats zu stellen.
流氓无产阶级是旧社会最下层中消极的腐化的部分，他们有时也被无产阶级革命卷到运动里来，但是，由于他们的整个生活状况，他们更甘心于被人收买，去干反动的勾当。	Das Lumpenproletariat, diese passive Verfaulung der untersten Schichten der alten Gesellschaft, wird durch eine proletarische Revolution stellenweise in die Bewegung hineingeschleudert, seiner ganzen Lebenslage nach wird es bereitwilliger sein sich zu reaktionären Umtrieben erkaufen zu lassen.
旧社会的生活条件在无产阶级的生活条件中已经被消灭了。	Die Lebensbedingungen der alten Gesellschaft sind schon vernichtet in den Lebensbedingungen des Proletariats.
无产者是没有财产的；他们和妻子儿女的关系同资产阶级的家庭关系再没有共同之处了；现代的工业劳动，现代的资本压迫，无论在英国或法国，无论在美国或德国，都是一样的，都使无产者失去了任何民族性。	Der Proletarier ist eigenthumslos; sein Verhältniß zu Weib und Kindern hat nichts mehr gemein mit dem bürgerlichen Familienverhältniß; die moderne industrielle Arbeit, die moderne Unterjochung unter das Kapital, dieselbe in England wie in Frankreich, in Amerika wie in Deutschland, hat ihm allen nationalen Charakter abgestreift.
法律、道德、宗教，在他们年来全都是掩盖资产阶级利益的资产阶级偏见。	Die Gesetze, die Moral, die Religion sind für ihn eben so viele bürgerliche Vorurtheile, hinter denen sich eben so viele bürgerliche Interessen verstecken.
过去一切阶级在争得统治之后，总是使整个社会服从于它们发财致富的条件，企图以此来巩固它们已经获得的生活地位。	Alle früheren Klassen, die sich die Herrschaft eroberten, suchten ihre schon erworbene Lebensstellung zu sichern, indem sie die ganze Gesellschaft den Bedingungen ihres Erwerbs unterwarfen.
无产者只有消灭自己的现存的占有方式，从而消灭全部现存的占有方式，才能取得社会生产力。	Die Proletarier können sich die gesellschaftlichen Produktivkräfte nur erobern, indem sie ihre eigene bisherige Aneignungsweise und damit die ganze bisherige Aneignungsweise abschaffen.
无产者没有什么自己的东西必须加以保护，他们必须摧毁至今保护和保障私有财产的一切。	Die Proletarier haben Nichts von dem Ihrigen zu sichern, sie haben alle bisherige Privatsicherheit und Privatversicherungen zu zerstören.
过去的一切运动都是少数人的或者为少数人谋利益的运动。	Alle bisherigen Bewegungen waren Bewegungen von Minoritäten oder im Interesse von Minoritäten.
无产阶级的运动是绝大多数人的、为绝大多数人谋利益的独立的运动。	Die proletarische Bewegung ist die selbstständige Bewegung der ungeheuren Mehrzahl im Interesse der ungeheuren Mehrzahl.
无产阶级，现今社会的最下层，如果不炸毁构成官方社会的整个上层，就不能抬起头来，挺起胸来。	Das Proletariat, die unterste Schichte der jetzigen Gesellschaft, kann sich nicht erheben, nicht aufrichten, ohne daß der ganze Ueberbau der Schichten, die die offizielle Gesellschaft bilden, in die Luft gesprengt wird.
如果不就内容而就形式来说，无产阶级反对资产阶级的斗争首先是一国范围内的斗争。	Obgleich nicht dem Inhalt, ist der Form nach der Kampf des Proletariats gegen die Bourgeoisie zunächst ein nationaler.
每一个国家的无产阶级当然首先应该打倒本国的资产阶级。	Das Proletariat eines jeden Landes muß natürlich zuerst mit seiner eigenen Bourgeoisie fertig werden.
在叙述无产阶级发展的最一般的阶段的时候，我们循序探讨了现存社会内部或多或少隐蔽着的国内战争，直到这个战争转变为公开的革命，无产阶级用暴力推翻资产阶级而建立自己的统治。	Indem wir die allgemeinsten Phasen der Entwicklung des Proletariats zeichneten, verfolgten wir den mehr oder minder versteckten Bürgerkrieg innerhalb der bestehenden Gesellschaft bis zu dem Punkt, wo er in eine offene Revolution ausbricht und durch den gewaltsamen Sturz der Bourgeoisie das Proletariat seine Herrschaft begründet.
我们已经看到，到目前为止的一切社会都是建立在压迫阶级和被压迫阶级的对立之上的。	Alle bisherige Gesellschaft beruhte, wie wir gesehn haben, auf dem Gegensatz unterdrückender und unterdrückter Klassen.
但是，为了有可能压迫一个阶级，就必须保证这个阶级至少有能够维持它的奴隶般的生存的条件。	Um aber eine Klasse unterdrücken zu können, müssen ihr Bedingungen gesichert sein innerhalb derer sie wenigstens ihre knechtische Existenz fristen kann.
农奴曾经在农奴制度下挣扎到公社社员的地位，小资产者曾经在封建专制制度的束缚下挣扎到资产者的地位。	Der Leibeigene hat sich zum Mitglied der Kommune in der Leibeigenschaft herangearbeitet, wie der Kleinbürger zum Bourgeois unter dem Joch des feudalistischen Absolutismus.
现代的工人却相反，他们并不是随着工业的进步而上升，而是愈来愈降到本阶级的生存条件以下。	Der moderne Arbeiter dagegen, statt sich mit dem Fortschritt der Industrie zu heben, sinkt immer tiefer unter die Bedingungen seiner eignen Klasse herab. Der Arbeiter wird zum Pauper, und der Pauperismus entwickelt sich noch rascher als Bevölkerung und Reichthum.
工人变成赤贫者，贫困比人口和财富增长得还要快。由此可以明显地看出，资产阶级再不能做社会的统治阶级了，再不能把自己阶级的生存条件当做支配一切的规律强加于社会了。	Es tritt hiermit offen hervor, daß die Bourgeoisie unfähig ist, noch länger die herrschende Klasse der Gesellschaft zu bleiben und die Lebensbedingungen ihrer Klasse der Gesellschaft als regelndes Gesetz aufzuzwingen.
资产阶级不能统治下去了，因为它甚至不能保证自己的奴隶维持奴隶的生活，因为它不得不让自己的奴隶落到不能养活它反而要它来养活的地步。	Sie ist unfähig zu herrschen, weil sie unfähig ist ihrem Sklaven die Existenz selbst innerhalb seiner Sklaverei zu sichern, weil sie gezwungen ist ihn in eine Lage herabsinken zu lassen, wo sie ihn ernähren muß, statt von ihm ernährt zu werden.
社会再不能在它统治下生活下去了，就是说，它的存在不再同社会相容了。	Die Gesellschaft kann nicht mehr unter ihr leben, d. h. ihr Leben ist nicht mehr verträglich mit der Gesellschaft.
资产阶级生存和统治的根本条件，是财富在私人手里的积累，是资本的形成和增殖；资本的生存条件是雇佣劳动。	Die wesentlichste Bedingung für die Existenz und für die Herrschaft der Bourgeoisklasse [11] ist die Anhäufung des Reichthums in den Händen von Privaten, die Bildung und Vermehrung des Kapitals.
雇佣劳动完全是建立在工人的自相竞争之上的。	Die Bedingung des Kapitals ist die Lohnarbeit. Die Lohnarbeit beruht ausschließlich auf der Konkurrenz der Arbeiter unter sich.
资产阶级无意中造成而又无力抵抗的工业进步，使工人通过联合而达到的革命团结代替了他们由于竞争而造成的分散状态。	Der Fortschritt der Industrie, dessen willenloser und wiederstandsloser Träger die Bourgeoisie ist, setzt an die Stelle der Isolirung der Arbeiter durch die Konkurrenz ihre revolutionäre Vereinigung durch die Association.
于是，随着大工业的发展，资产阶级赖以生产和占有产品的基础本身也就从它的脚下被挖掉了。	Mit der Entwicklung der großen Industrie wird also unter den Füßen der Bourgeoisie die Grundlage selbst weggezogen worauf sie produzirt und die Produkte sich aneignet.
它首先生产的是它自身的掘墓人。	Sie produzirt vor Allem ihre eigenen Todtengräber.
资产阶级的灭亡和无产阶级的胜利是同样不可避免的。	Ihr Untergang und der Sieg des Proletariats sind gleich unvermeidlich.
二、无产者和共产党人	II. Proletarier und Kommunisten.
共产党人同一般无产者的关系是怎样的呢？	In welchem Verhältniß stehen die Kommunisten zu den Proletariern überhaupt?
共产党人不是同其他工人政党相对立的特殊政党。	Die Kommunisten sind keine besondere Partei gegenüber den andern Arbeiterparteien.
他们没有任何同整个无产阶级的利益不同的利益。	Sie haben keine von den Interessen des ganzen Proletariats getrennten Interessen.
他们不提出任何特殊的原则，用以塑造无产阶级的运动。	Sie stellen keine besondern Prinzipien auf, wonach sie die proletarische Bewegung modeln wollen.
共产党人同其他无产阶级政党不同的地方只是：一方面，在各国无产者的斗争中，共产党人强调和坚持整个无产阶级的不分民族的共同利益；另一方面，在无产阶级和资产阶级的斗争所经历的各个发展阶级上，共产党人始终代表整个运动的利益。	Die Kommunisten unterscheiden sich von den übrigen proletarischen Parteien nur dadurch, daß einerseits sie in den verschiedenen nationalen Kämpfen der Proletarier die gemeinsamen, von der Nationalität unabhängigen Interessen des gesammten Proletariats hervorheben und zur Geltung bringen, andrerseits dadurch, daß sie in den verschiedenen Entwicklungs-Stufen, welche der Kampf zwischen Proletariat und Bourgeoisie durchläuft, stets das Interesse der Gesammt-Bewegung vertreten.
因此，在实践方面，共产党人是各国工人政党中最坚决的、始终推动运动前进的部分；在理论方面，他们比其余的无产阶级群众优越的地方在于他们了解无产阶级运动的条件、进程和一般结果。	Die Kommunisten sind also praktisch der entschiedenste immer weiter treibende Theil der Arbeiterparteien aller Länder, sie haben theoretisch vor der übrigen Masse des Proletariats die Einsicht in die Bedingungen, den Gang und die allgemeinen Resultate der proletarischen Bewegung voraus.
共产党人的最近目的是和其他一切无产阶级政党的最近目的一样的：使无产阶级形成为阶级，推翻资产阶级的统治，由无产阶级夺取政权。	Der nächste Zweck der Kommunisten ist derselbe wie der aller übrigen proletarischen Parteien: Bildung des Proletariats zur Klasse, Sturz der Bourgeoisieherrschaft, Eroberung der politischen Macht durch das Proletariat.
共产党人的理论原理，决不是以这个或那个世界改革家所发明或发现的思想、原则为根据的。	Die theoretischen Sätze der Kommunisten beruhen keineswegs auf Ideen, auf Prinzipien, die von diesem oder jenem Weltverbesserer erfunden oder entdeckt sind.
这些原理不过是现在的阶级斗争、我们眼前的历史运动的真实关系的一舰表现。	Sie sind nur allgemeine Ausdrücke thatsächlicher Verhältnisse eines existirenden Klassenkampfes, einer unter unsern Augen vor sich gehenden geschichtlichen Bewegung.
消灭先前存在的所有制关系，并不是共产主义所独具的特征。	Die Abschaffung bisheriger Eigenthumsverhältnisse ist nichts dem Kommunismus eigenthümlich Bezeichnendes.
一切所有制关系都经历了经常历史更替、经常的历史变更。	Alle Eigenthumsverhältnisse waren einem beständigen geschichtlichen Wechsel, einer beständigen geschichtlichen Veränderung unterworfen.
例如，法国革命废除了封建的所有制，代之以资产阶级的所有制。	Die Französische Revolution z. B. schaffte das Feudal-Eigenthum zugunsten des bürgerlichen ab.
共产主义的特征并不是要废除一般的所有制，而是要废除资产阶级的所有制。	Was den Kommunismus auszeichnet, ist nicht die Abschaffung des Eigenthums überhaupt, sondern die Abschaffung des bürgerlichen Eigenthums.
但是，现代的资产阶级私有制是建筑在阶级对立上面、建筑在一些人对另一些人的剥削上面的生产和产品占有的最后而又最完备的表现。	Aber das moderne bürgerliche Privateigenthum ist der letzte und vollendetste Ausdruck der Erzeugung und Aneignung der Producte, die auf Klassengegensätzen, die auf der Ausbeutung der Einen durch die Andern beruht.
从这个意义上说，共产党人可以用一句话把自己的理论概括起来：消灭私有制。	In diesem Sinn können die Kommunisten ihre Theorie in dem einen Ausdruck: Aufhebung des Privat-Eigenthums zusammenfassen.
有人责备我们共产党人，说我们要消灭个人挣得的、自己劳动得来的财产，要消灭构成个人的一切自由、活动和独立的基础的财产。	[12] Man hat uns Kommunisten vorgeworfen, wir wollten das persönlich erworbene, selbsterarbeitete Eigenthum abschaffen; das Eigenthum, welches die Grundlage aller persönlichen Freiheit, Thätigkeit und Selbständigkeit bilde.
好一个劳动得来的、自己挣得的、自己赚来的财产！	Erarbeitetes, erworbenes, selbstverdientes Eigenthum!
你们说的是资产阶级所有制以前的那种小资产者的、小农的财产吗？	Sprecht Ihr von dem kleinbürgerlichen, kleinbäuerlichen Eigenthum, welches dem bürgerlichen Eigenthum vorherging?
那种财产用不着我们去消灭，工业的发展已经把它消灭了，而且每天都在消灭它。	Wir brauchen es nicht abzuschaffen, die Entwickelung der Industrie hat es abgeschafft und schafft es täglich ab.
或者，你们说的是现代的资产阶级的私有财产吧？	Oder sprecht Ihr vom modernen bürgerlichen Privateigenthum?
但是，难道雇佣劳动，无产者的劳动，会给无产者创造出财产来吗？	Schafft aber die Lohnarbeit, die Arbeit des Proletariers ihm Eigenthum?
没有的事。	Keineswegs.
这种劳动所创造的是资本，即剥削雇佣劳动的财产，只有在不断产生出新的雇佣劳动来重新加以剥削的条件下才能增加起来的财产。	Sie schafft das Kapital, d. h. das Eigenthum, welches die Lohnarbeit ausbeutet, welches sich nur unter der Bedingung vermehren kann, daß es neue Lohnarbeit erzeugt, um sie von Neuem auszubeuten.
现今的这种财产是在资本和雇佣劳动的对立中运动的。	Das Eigenthum in seiner heutigen Gestalt bewegt sich in dem Gegensatz von Kapital und Lohnarbeit.
让我们来看看这种对立的两个方面吧。	Betrachten wir die beiden Seiten dieses Gegensatzes. Kapitalist sein heißt nicht nur eine reinpersönliche, sondern eine gesellschaftliche Stellung in der Produktion einnehmen.
做一个资本家，这就是说，他在生产中不仅占有一种纯粹个人的地位，而且占有一种社会的地位。资本是集体的产物，它只有通过社会许多成员的共同活动，而且归根到底只有通过社会全体成员的共同活动，才能被运用起来。	Das Kapital ist ein gemeinschaftliches Produkt und kann nur durch eine gemeinsame Thätigkeit vieler Mitglieder, ja in letzter Instanz nur durch die gemeinsame Thätigkeit aller Mitglieder der Gesellschaft in Bewegung gesetzt werden.
因此，资本不是一种个人力量，而是一种社会力量。	Das Kapital ist also keine persönliche, es ist eine gesellschaftliche Macht.
因此，把资本变为属于社会全体成员的公共财产，这并不是把个人财产变为社会财产。	Wenn also das Kapital in gemeinschaftliches, allen Mitgliedern der Gesellschaft angehöriges Eigenthum verwandelt wird, so verwandelt sich nicht persönliches Eigenthum in gesellschaftliches.
这时所改变的只是财产的社会性质。	Nur der gesellschaftliche Charakter des Eigenthums verwandelt sich.
它将失掉它的阶级性质。	Er verliert seinen Klassen-Charakter.
现在，我们来看看雇佣劳动。	Kommen wir zur Lohnarbeit.
雇佣劳动的平均价格是最低限度的工资，即工人为维持其工人的生活所必需的生活资料的数额。	Der Durchschnittspreis der Lohnarbeit ist das Minimum des Arbeitslohnes, d. h. die Summe der Lebensmittel, die nothwendig sind, um den Arbeiter als Arbeiter am Leben zu erhalten.
因此，雇佣工人靠自己的劳动所占有的东西，只够勉强维持他的生命的再生产。	Was also der Lohnarbeiter durch seine Thätigkeit sich aneignet, reicht blos dazu hin, um sein nacktes Leben wieder zu erzeugen.
我们决不打算消灭这种供直接生命再生产用的劳动产品的个人占有，这种占有并不会留下任何剩余的东西使人们有可能支配别人的劳动。	Wir wollen diese persönliche Aneignung der Arbeitsprodukte zur Wiedererzeugung des unmittelbaren Lebens keineswegs abschaffen, eine Aneignung, die keinen Reinertrag übrigläßt, der Macht über fremde Arbeit geben könnte.
我们要消灭的只是这种占有的可怜的性质，在这种占有下，工人仅仅为增殖资本而生活，并且只有在统治阶级的利益需要他生活的时候才能生活。	Wir wollen nur den elenden Charakter dieser Aneignung aufheben, worin der Arbeiter nur lebt, um das Kapital zu vermehren, nur so weit lebt, wie es das Interesse der herrschenden Klasse erheischt.
在资产阶级社会里，活的劳动只是增殖已经积累起来的劳动的一种手段。	In der bürgerlichen Gesellschaft ist die lebendige Arbeit nur ein Mittel, die aufgehäufte Arbeit zu vermehren.
在共产主义社会里，已经积累起来的劳动只是扩大、丰富和提高工人的生活的一种手段。	In der kommunistischen Gesellschaft ist die aufgehäufte Arbeit nur ein Mittel, um den Lebensprozeß der Arbeiter zu erweitern, zu bereichern, zu befördern.
因此，在资产阶级社会里是过去支配现在，在共产主义社会里是现在支配过去。	In der bürgerlichen Gesellschaft herrscht also die Vergangenheit über die Gegenwart, in der kommunistischen die Gegenwart über die Vergangenheit.
在资产阶级社会里，资本具有独立性和个性，而活动着的个人却没有独立性和个性。	In der bürgerlichen Gesellschaft ist das Kapital selbstständig und persönlich, während das thätige Individuum unselbstständig und unpersönlich ist.
而资产阶级却把消灭这种关系说成是消灭个性和自由！	Und die Aufhebung dieses Verhältnisses nennt die Bourgeoisie Aufhebung der Persönlichkeit und Freiheit!
它说对了。	Und mit Recht.
的确，正是要消灭资产者的个性、独立性和自由。	Es handelt sich allerdings um die Aufhebung der Bourgeois-Persönlichkeit, Selbstständigkeit und Freiheit.
在现今的资产阶级生产关系的范围内，所谓自由就是贸易自由，买卖自由。	Unter Freiheit versteht man innerhalb der jetzigen bürgerlichen Produktions-Verhältnisse den freien Handel, den freien Kauf und Verkauf.
但是，买卖一消失，自由的买卖也就会消失。	Fällt aber der Schacher, so fällt auch der freie Schacher.
我们的资产者关于自由买卖的空谈，也象他们的其他一切关于自由的大话一样，仅仅对于不自由的买卖来说，对于中世纪被奴役的市民来说，才是有意义的，而对于共产主义要消灭买卖、消灭资产阶级生产关系和资产阶级本身这一点来说，却是毫无意义的。	Die Redensarten vom freien Schacher, wie alle übrigen Freiheitsbravaden unserer Bourgeois haben überhaupt nur einen Sinn gegenüber dem gebundenen Schacher, gegenüber dem geknechteten Bürger des Mittelalters, nicht aber gegenüber der kommunistischen [13] Aufhebung des Schachers, der bürgerlichen Produktions-Verhältnisse und der Bourgeoisie selbst.
你们一听到我们要消灭私有制，就惊慌起来。	Ihr entsetzt Euch darüber, daß wir das Privateigenthum aufheben wollen.
